,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
767,64.0,512,256,256,8,647.936,1512.982
768,64.0,512,256,256,16,1227.4483333333333,1555.5193333333332
769,64.0,512,256,256,32,2426.138,1550.4946666666667
770,64.0,512,256,512,1,322.27066666666667,1503.6406666666667
771,64.0,512,256,512,4,1077.746,1521.5883333333334
772,64.0,512,256,512,8,2168.388,1556.5883333333334
773,64.0,512,256,512,16,4356.982,1556.6553333333331
774,64.0,512,256,1024,1,1078.04,1538.868
775,64.0,512,256,1024,4,4118.156,1558.058
776,64.0,512,256,1024,8,8203.904666666667,1528.11
777,64.0,512,256,2048,1,4133.939,1906.4956666666667
778,64.0,512,256,2048,4,16268.637333333334,1755.3493333333333
779,64.0,512,256,2048,8,32440.70766666667,1755.7373333333333
780,64.0,512,256,4096,1,16452.592333333334,3269.7213333333334
781,64.0,512,256,4096,4,63761.45333333334,3401.3293333333336
782,64.0,512,512,256,1,217.12333333333333,3297.385
783,64.0,512,512,256,4,563.449,2643.4216666666666
784,64.0,512,512,256,8,848.0876666666667,2651.9876666666664
785,64.0,512,512,256,16,1317.8016666666667,2690.1156666666666
786,64.0,512,512,256,32,2449.1373333333336,2748.0876666666663
787,64.0,512,512,512,1,402.2936666666667,2649.3823333333335
788,64.0,512,512,512,4,1217.025,2695.835
789,64.0,512,512,512,8,2164.8196666666663,2736.127
790,64.0,512,512,512,16,4361.379333333333,2746.4973333333337
791,64.0,512,512,1024,1,1793.303,4526.984666666667
792,64.0,512,512,1024,4,4143.267,2758.6053333333334
793,64.0,512,512,1024,8,8237.689,2734.457
794,64.0,512,512,2048,1,4096.119333333333,2764.4856666666665
795,64.0,512,512,2048,4,16176.347,2751.469
