,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
165,3d,1,2048,128,2048,32.0,,806.3249999999999,19.698666666666668,826.0236666666666,,82.081,5.786666666666666,87.86766666666666
166,3d,1,2048,128,2048,304.0,,82.081,5.786666666666666,87.86766666666666,111.96300000000001,,,111.96300000000001
167,3d,1,2048,128,2048,304.0,,82.081,5.786666666666666,87.86766666666666,,82.081,5.786666666666666,87.86766666666666
168,3d,1,2048,128,256,32.0,,202.316,19.431333333333335,221.74733333333333,20.941333333333333,,,20.941333333333333
169,3d,1,2048,128,256,32.0,,202.316,19.431333333333335,221.74733333333333,,24.52266666666667,7.670999999999999,32.19366666666667
170,3d,1,2048,128,256,304.0,,24.52266666666667,7.670999999999999,32.19366666666667,20.941333333333333,,,20.941333333333333
171,3d,1,2048,128,256,304.0,,24.52266666666667,7.670999999999999,32.19366666666667,,24.52266666666667,7.670999999999999,32.19366666666667
172,3d,1,2048,128,4096,32.0,,1392.827,19.671666666666667,1412.4986666666666,216.40166666666667,,,216.40166666666667
173,3d,1,2048,128,4096,32.0,,1392.827,19.671666666666667,1412.4986666666666,,134.655,5.839666666666666,140.49466666666666
174,3d,1,2048,128,4096,304.0,,134.655,5.839666666666666,140.49466666666666,216.40166666666667,,,216.40166666666667
175,3d,1,2048,128,4096,304.0,,134.655,5.839666666666666,140.49466666666666,,134.655,5.839666666666666,140.49466666666666
176,3d,1,2048,128,512,32.0,,338.6946666666667,19.632,358.3266666666667,33.04933333333333,,,33.04933333333333
177,3d,1,2048,128,512,32.0,,338.6946666666667,19.632,358.3266666666667,,39.424,7.524,46.948
178,3d,1,2048,128,512,304.0,,39.424,7.524,46.948,33.04933333333333,,,33.04933333333333
179,3d,1,2048,128,512,304.0,,39.424,7.524,46.948,,39.424,7.524,46.948
180,3d,1,2048,16,1024,32.0,,64.64066666666666,4.811,69.45166666666665,58.34633333333333,,,58.34633333333333
181,3d,1,2048,16,1024,32.0,,64.64066666666666,4.811,69.45166666666665,,9.287999999999998,5.3053333333333335,14.593333333333332
182,3d,1,2048,16,1024,304.0,,9.287999999999998,5.3053333333333335,14.593333333333332,58.34633333333333,,,58.34633333333333
183,3d,1,2048,16,1024,304.0,,9.287999999999998,5.3053333333333335,14.593333333333332,,9.287999999999998,5.3053333333333335,14.593333333333332
184,3d,1,2048,16,2048,32.0,,101.61899999999999,4.771,106.38999999999999,110.42633333333333,,,110.42633333333333
185,3d,1,2048,16,2048,32.0,,101.61899999999999,4.771,106.38999999999999,,13.082999999999998,5.024333333333334,18.107333333333333
186,3d,1,2048,16,2048,304.0,,13.082999999999998,5.024333333333334,18.107333333333333,110.42633333333333,,,110.42633333333333
187,3d,1,2048,16,2048,304.0,,13.082999999999998,5.024333333333334,18.107333333333333,,13.082999999999998,5.024333333333334,18.107333333333333
188,3d,1,2048,16,256,32.0,,26.393666666666665,5.439333333333334,31.833,19.25733333333333,,,19.25733333333333
189,3d,1,2048,16,256,32.0,,26.393666666666665,5.439333333333334,31.833,,7.270333333333333,5.011666666666667,12.282
190,3d,1,2048,16,256,304.0,,7.270333333333333,5.011666666666667,12.282,19.25733333333333,,,19.25733333333333
191,3d,1,2048,16,256,304.0,,7.270333333333333,5.011666666666667,12.282,,7.270333333333333,5.011666666666667,12.282
192,3d,1,2048,16,4096,32.0,,175.12066666666666,4.891,180.01166666666666,214.758,,,214.758
